model,version,year,km,color,price,location
Giulietta,1.6 JTD Distinctive,2013,188000,Kırmızı,455000,İstanbul Kadıköy
159,1.9 JTS Distinctive,2006,190000,Kırmızı,347000,Burdur Bucak
Giulietta,1.6 JTD Distinctive,2014,94000,Kırmızı,528900,Aydın Nazilli
147,2.0 TS Distinctive,2003,262000,Mavi,239750,Ankara Çankaya
Giulietta,1.4 TB MultiAir Distinctive,2012,70000,Beyaz,500000,Ankara Çankaya
Giulietta,1.6 JTD Progression,2017,68000,Füme,670000,Bursa Osmangazi
Giulietta,1.6 JTD Super TCT,2018,74000,Beyaz,649500,İstanbul Güngören
Giulietta,1.6 JTD Distinctive,2014,176000,Beyaz,457500,Samsun Tekkeköy
Giulietta,1.6 JTD Super TCT,2018,79000,Füme,680000,İzmir Bornova
Giulietta,1.4 TB MultiAir Distinctive,2013,84000,Beyaz,553850,Kayseri Kocasinan
GT,2.0 JTS Dis.Selespeed,2006,171000,Siyah,385000,İstanbul Sultangazi
Giulietta,1.4 TB MultiAir Distinctive,2015,101000,Kırmızı,647000,İstanbul Fatih
156,2.0 TS Selespeed,2001,224000,Gümüş Gri,212000,Adana Çukurova
156,2.0 TS Selespeed,2001,224000,Kırmızı,223500,Sakarya Akyazı
156,1.6 TS Distinctive,2004,242000,Gri,259900,Ankara Keçiören
Brera,3.2 JTS Q4 Sky Window,2007,99000,Kırmızı,1100000,İstanbul Sarıyer
156,1.6 TS Distinctive,2005,242000,Bordo,256500,Ankara Keçiören
164,2.0 Turbo,1994,153000,Kahverengi,333000,Bursa Nilüfer
Giulietta,1.6 JTD Progression,2016,155000,Beyaz,595000,İzmir Buca
156,1.6 TS Distinctive,2004,238000,Gri,250000,İstanbul Ümraniye
Giulietta,1.4 TB Distinctive,2012,49000,Kırmızı,540000,Antalya Konyaaltı
147,1.6 TS Distinctive,2003,285000,Kırmızı,205000,Mersin Toroslar
159,1.9 JTD Distinctive,2008,198000,Siyah,357900,İstanbul Bahçelievler
146,1.6 TS,1999,260000,Gümüş Gri,133500,İstanbul Gaziosmanpaşa
Giulietta,1.4 TB Progression Plus,2013,91300,Beyaz,510000,İzmir Buca
Giulietta,1.4 TB Distinctive,2011,113000,Beyaz,550000,Manisa Şehzadeler
159,1.9 JTS Distinctive,2006,183000,Bordo,360000,Kocaeli Körfez
Giulietta,1.4 TB MultiAir Distinctive,2013,115000,Beyaz,695000,İzmir Karşıyaka
156,1.6 TS,1999,350000,Beyaz,191500,Kocaeli İzmit
146,1.4 TS,1998,307000,Yeşil,140000,İstanbul Silivri
Giulietta,1.6 JTD Super TCT,2018,90000,Beyaz,689750,İstanbul Ataşehir
Giulietta,1.4 TB MultiAir Distinctive,2015,152000,Kırmızı,830000,İstanbul Kadıköy
146,1.6 L,1996,420000,Lacivert,63000,Sakarya Serdivan
147,1.6 TS Distinctive,2004,242000,Gri,220000,Antalya Demre
156,2.0 TS,1999,340250,Yeşil,170000,Bursa İnegöl
145,1.4,1998,257000,Yeşil,125000,Bursa Mustafakemalpaşa
156,2.0 TS Distinctive,2001,266000,Gümüş Gri,190000,Tekirdağ Çorlu
MiTo,1.3 JTD City,2012,190000,Kırmızı,350000,Ankara Çankaya
Giulietta,1.6 JTD Super TCT,2018,130000,Füme,765000,İstanbul Bağcılar
147,1.6 TS Distinctive,2009,370000,Siyah,200000,İstanbul Avcılar
Giulietta,1.6 JTD Progression,2017,179868,Kırmızı,590000,İstanbul Sultanbeyli
156,2.0 TS Executive,1999,271000,Gümüş Gri,223000,Mersin Yenişehir
159,1.9 JTS Distinctive,2008,302000,Siyah,389500,Mersin Mezitli
